signalType,sampleRate,algorithm,algorithmParameters,trueFreq,predFreq,time
saw,44100,cepstrum,isCustomFFT=False,100,99.87119096436652,0.0003420649954932742
saw,44100,HPS,isCustomFFT=False&numDownsamples=4,100,107.666015625,0.003919440998288337
saw,44100,average,b=1&isCustomFFT=False&numDownsamples=4,100,100.00840053763442,16.982906761993945
saw,44100,median,b=1&isCustomFFT=False&numDownsamples=4,100,100.0,16.982906761993945
square,44100,zerocross,n/a,100,100.0,0.00018811899644788355
square,44100,autocorrelation,n/a,100,44100.0,7.217397376996814
square,44100,AMDF,b=1,100,100.0,8.536567734998243
square,44100,naiveFT,isCustomFFT=False,100,107.666015625,0.00029744299536105245
square,44100,cepstrum,isCustomFFT=False,100,99.87119096436652,0.00033782999526010826
square,44100,HPS,isCustomFFT=False&numDownsamples=4,100,21.533203125,0.003907079000782687
square,44100,average,b=1&isCustomFFT=False&numDownsamples=4,100,99.95706365478884,15.75869558298291
square,44100,median,b=1&isCustomFFT=False&numDownsamples=4,100,100.0,15.75869558298291
triangle,44100,zerocross,n/a,100,100.02520161290323,0.00016436399891972542
triangle,44100,autocorrelation,n/a,100,44100.0,7.101475933995971
triangle,44100,AMDF,b=1,100,100.0,8.769815676001599
triangle,44100,naiveFT,isCustomFFT=False,100,107.666015625,0.00029931300377938896
triangle,44100,cepstrum,isCustomFFT=False,100,3678.5888671875,0.0003383980001672171
triangle,44100,HPS,isCustomFFT=False&numDownsamples=4,100,21.533203125,0.003909446997568011
triangle,44100,average,b=1&isCustomFFT=False&numDownsamples=4,100,102.56373907930107,15.876003131998004
triangle,44100,median,b=1&isCustomFFT=False&numDownsamples=4,100,100.02520161290323,15.876003131998004
sineWith10Harmonics,44100,zerocross,n/a,100,100.02520161290323,0.00018882999574998394
sineWith10Harmonics,44100,autocorrelation,n/a,100,44100.0,7.176636148004036
sineWith10Harmonics,44100,AMDF,b=1,100,100.0,8.569636107000406
sineWith10Harmonics,44100,naiveFT,isCustomFFT=False,100,107.666015625,0.0003041910022147931
sineWith10Harmonics,44100,cepstrum,isCustomFFT=False,100,3678.5888671875,0.0003348719983478077
sineWith10Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,100,21.533203125,0.003910027997335419
sineWith10Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,100,102.56373907930107,15.75101017599809
sineWith10Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,100,100.02520161290323,15.75101017599809
sineWith20Harmonics,44100,zerocross,n/a,100,100.02520161290323,0.0001598739982000552
sineWith20Harmonics,44100,autocorrelation,n/a,100,44100.0,7.281534088004264
sineWith20Harmonics,44100,AMDF,b=1,100,100.0,8.875510018995556
sineWith20Harmonics,44100,naiveFT,isCustomFFT=False,100,107.666015625,0.0003008269995916635
sineWith20Harmonics,44100,cepstrum,isCustomFFT=False,100,3678.5888671875,0.00033724799868650734
sineWith20Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,100,21.533203125,0.003839229997538496
sineWith20Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,100,102.56373907930107,16.161681285993836
sineWith20Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,100,100.02520161290323,16.161681285993836
sine,44100,zerocross,n/a,125,125.02577319587628,0.00016343699826393276
sine,44100,autocorrelation,n/a,125,125.2840909090909,7.278078366995032
sine,44100,AMDF,b=1,125,124.92917847025495,8.755234291005763
sine,44100,naiveFT,isCustomFFT=False,125,129.19921875,0.0002902429987443611
sine,44100,cepstrum,isCustomFFT=False,125,3678.5888671875,0.0003422759982640855
sine,44100,HPS,isCustomFFT=False&numDownsamples=4,125,43.06640625,0.003848364998702891
sine,44100,average,b=1&isCustomFFT=False&numDownsamples=4,125,125.07968085840737,16.03795697899477
sine,44100,median,b=1&isCustomFFT=False&numDownsamples=4,125,125.02577319587628,16.03795697899477
saw,44100,zerocross,n/a,125,125.02577319587628,0.00016094199963845313
saw,44100,autocorrelation,n/a,125,124.92917847025495,7.32358303500223
saw,44100,AMDF,b=1,125,124.92917847025495,8.71528240400221
saw,44100,naiveFT,isCustomFFT=False,125,129.19921875,0.00047564499982399866
saw,44100,cepstrum,isCustomFFT=False,125,124.69792770127117,0.0006514699998660944
saw,44100,HPS,isCustomFFT=False&numDownsamples=4,125,129.19921875,0.004038555998704396
saw,44100,average,b=1&isCustomFFT=False&numDownsamples=4,125,124.96137671212874,16.044192052002472
saw,44100,median,b=1&isCustomFFT=False&numDownsamples=4,125,124.92917847025495,16.044192052002472
square,44100,zerocross,n/a,125,125.0,0.0004126510029891506
square,44100,autocorrelation,n/a,125,124.92917847025495,7.059472831999301
square,44100,AMDF,b=1,125,124.92917847025495,8.670388159996946
square,44100,naiveFT,isCustomFFT=False,125,129.19921875,0.000293823002721183
square,44100,cepstrum,isCustomFFT=False,125,124.69792770127117,0.0003398849949007854
square,44100,HPS,isCustomFFT=False&numDownsamples=4,125,129.19921875,0.0038970430032350123
square,44100,average,b=1&isCustomFFT=False&numDownsamples=4,125,124.95278564683663,15.734804394000093
square,44100,median,b=1&isCustomFFT=False&numDownsamples=4,125,124.92917847025495,15.734804394000093
triangle,44100,zerocross,n/a,125,125.02577319587628,0.00015728099970147014
triangle,44100,autocorrelation,n/a,125,125.2840909090909,7.067592460000014
triangle,44100,AMDF,b=1,125,124.92917847025495,8.707411262999813
triangle,44100,naiveFT,isCustomFFT=False,125,129.19921875,0.0002982279984280467
triangle,44100,cepstrum,isCustomFFT=False,125,3678.5888671875,0.00033872300264192745
triangle,44100,HPS,isCustomFFT=False&numDownsamples=4,125,129.19921875,0.0038821640046080574
triangle,44100,average,b=1&isCustomFFT=False&numDownsamples=4,125,126.50302761832239,15.779680119005207
triangle,44100,median,b=1&isCustomFFT=False&numDownsamples=4,125,125.2840909090909,15.779680119005207
sineWith10Harmonics,44100,zerocross,n/a,125,125.02577319587628,0.00015861700376262888
sineWith10Harmonics,44100,autocorrelation,n/a,125,124.92917847025495,7.591296365004382
sineWith10Harmonics,44100,AMDF,b=1,125,124.92917847025495,9.215176995996444
sineWith10Harmonics,44100,naiveFT,isCustomFFT=False,125,129.19921875,0.00032113600173033774
sineWith10Harmonics,44100,cepstrum,isCustomFFT=False,125,3678.5888671875,0.0003769769973587245
sineWith10Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,125,129.19921875,0.004490259998419788
sineWith10Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,125,126.38472347204375,16.811820351002098
sineWith10Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,125,125.02577319587628,16.811820351002098
sineWith20Harmonics,44100,zerocross,n/a,125,125.02577319587628,0.00015777400403749198
sineWith20Harmonics,44100,autocorrelation,n/a,125,124.92917847025495,7.7082010459998855
sineWith20Harmonics,44100,AMDF,b=1,125,124.92917847025495,9.489466069004266
sineWith20Harmonics,44100,naiveFT,isCustomFFT=False,125,129.19921875,0.0002995059985551052
sineWith20Harmonics,44100,cepstrum,isCustomFFT=False,125,3678.5888671875,0.00033855899528134614
sineWith20Harmonics,44100,HPS,isCustomFFT=False&numDownsamples=4,125,129.19921875,0.0038442730001406744
sineWith20Harmonics,44100,average,b=1&isCustomFFT=False&numDownsamples=4,125,126.38472347204375,17.202307227002166
sineWith20Harmonics,44100,median,b=1&isCustomFFT=False&numDownsamples=4,125,125.02577319587628,17.202307227002166
sine,44100,zerocross,n/a,150,150.0,0.00016619199595879763
sine,44100,autocorrelation,n/a,150,150.0,7.031421877996763
sine,44100,AMDF,b=1,150,150.0,8.659239997999975
sine,44100,naiveFT,isCustomFFT=False,150,150.732421875,0.00030142999457893893
sine,44100,cepstrum,isCustomFFT=False,150,3678.5888671875,0.00034431899985065684
sine,44100,HPS,isCustomFFT=False&numDownsamples=4,150,150.732421875,0.0040104720028466545
sine,44100,average,b=1&isCustomFFT=False&numDownsamples=4,150,150.244140625,15.695484288989974
sine,44100,median,b=1&isCustomFFT=False&numDownsamples=4,150,150.0,15.695484288989974
saw,44100,zerocross,n/a,150,150.07853403141362,0.000193709995073732
saw,44100,autocorrelation,n/a,150,150.0,7.3976014030049555
saw,44100,AMDF,b=1,150,150.0,8.805471312000009
saw,44100,naiveFT,isCustomFFT=False,150,150.732421875,0.0003004709942615591
